userId,stdScore,fogScore,userName
1000006,1429,1378,purifierwarmech
1000007,1518,0,wolf_71
1000008,1744,1632,Rush_FTK
1000009,1550,1231,不是icy
1000010,1322,1385,Cheshirecat
1000011,1088,1249,su. 
1000023,1708,1682,zhaotiantong
1000050,1255,0,史莱喵。
1000077,1579,0,SonjaTheSuperior11
1000132,1142,1102,Antihero
1000141,1541,1334,King Arthur
1000149,1561,1468,BleakHorizon
1000155,1315,1415,Aidan
1000173,1257,901,Doppelganger
1000182,1241,1121,Azohn
1000210,1295,1181,Aimline
1000226,1128,1134,LCHXZERO
1000285,1241,1260,R'loc
1000333,1144,1170,Super Vlad
1000336,1746,1719,Frodoor
1000340,1329,1656,Red-One
1000349,1426,1519,Maleous
1000354,1999,1918,Plague
1000370,1826,1244,sarastro
1000375,1406,0,Fluhfie
1000453,1210,1215,Noxmare
1000470,1398,1348,BusterBeachside
1000487,1372,1359,AdvanceWarrior
1000492,1179,0,LenWan
1000499,1159,1139,hooch
1000531,1473,1294,Chan ' tcho
1000541,1310,0,StaleBread
1000635,1400,1672,cjlim2007
1000639,1195,0,NocturnalRaven
1000683,1165,901,DC29
1000686,1655,0,Operation Mechstorm
1000719,0,1351,Avalon
1000734,1578,1625,Abreu
1000745,1340,1419,badbadbad
1000777,1236,1245,mathblitz
1000782,1219,1206,Mewtwo
1000785,1590,1645,Lordofcold
1000790,1172,1370,!try!
1000800,1265,0,Napoleon
1000812,1632,1802,magicalpuffin
1000815,1362,1207,thermaldyn
1000867,1835,1815,Mini Nini
1000909,1282,1322,rmac
1001046,1463,1180,ePiiC PaNiiC
1001096,0,1027,Zari
1001161,1418,0,The Philanthropist
1001162,1107,1100,Mangs
1001187,0,1275,kaiser13
1001230,1322,0,Profeta7
1001231,1220,1150,kuro95
1001234,1325,1399,FUULROD
1001244,0,1146,Abtahee
1001305,1162,0,Akashichi
1001314,1084,1200,DaddyGrimm
1001315,1110,1159,Fabricati
1001316,1590,1155,Deejus
1001378,1084,1170,quentin
1001401,1170,1112,Alex
1001403,1219,1130,Playmaker 
1001405,1159,1250,TashasSportsBra
1001414,1073,1070,Aeeloran
1001417,943,898,Rich Energy
1001451,1452,1200,Adept999
1001454,1087,1200,Pauan
1001456,1254,1172,wacho789
1001461,1367,1200,xrumblingcdsx
1001462,1200,1139,ItsKrunchTime
1001463,1082,1212,N0o2
1001467,1200,1070,shiroishi
1001469,1555,1551,Sliicer
1001484,1303,1200,Raisak
1001485,1283,1200,tingle
1001504,1516,1434,CommanderLuciel
1001505,1057,1019,jinbin
1001514,1291,1306,Sir Biggles
1001521,1197,1200,BeansChabier
1001534,1295,1263,Gombel
1001570,1059,1180,Monsters_vs_MyDad
1001598,1185,1280,_5C_
1001613,1163,1400,Akubjay
1001634,1330,1253,DC290
1001635,1131,1200,Korven
1001639,1234,1493,Divva
1001644,1026,910,G47Rush
1001652,1082,1022,meatlogmike
1001658,1200,999,Dyslexic Lizard
1001664,1131,1138,Frost_Lantern
1001691,1077,1124,LotLaPecera
1001697,876,1200,woshiwaiguoren
1001732,1669,1648,Ndrangheta'
1001752,1316,1306,Barondoctor
1001753,1345,1628,RayKadoodles
1001783,1138,1155,deltadex7
1001785,1204,1129,Bruce818
1001789,1281,1246,LeLieuTenant
1001796,947,1107,ThankerMg
1001811,1075,1006,Saiky27
1001830,1161,1200,Boxabullets
1001833,1146,1238,Airmaster
1001847,1094,1059,Knock
1001848,1001,988,KioKio
1001857,1228,1200,Fukuda
1001871,946,1187,KaelDra27
1001872,1044,1111,Spartacous
1001874,1049,1128,estratus314
1001887,1128,1307,CuntSlayer
1001893,1028,1250,JustABadGuy
1001897,1206,1304,d_def
1001916,1029,1011,fethi2020
1001923,1058,1200,Krolan
1001940,1156,1180,Sora
1001944,1173,1192,fuzzygenie
1001945,1170,1319,Astady
1001946,1207,1413,zielinskigr
1001949,1081,1200,DaGinga
1001950,1200,1321,Darqspeaker
1001957,1155,1200,R8Spike
1001959,1246,1168,Pop Tart
1001960,1423,1553,TheManCalledBen
1001965,1154,1200,RamblinEvilMushroom
1001972,1239,1200,megt0n
1001973,1406,1260,Nuclear Rat
1001975,1103,1187,Shmoequey
1001978,1122,1307,joebrooklyn39
1001986,1312,1226,Private_J
1001990,1238,1396,Tayufa
1001991,1136,1200,WiNLord
1001995,1294,1009,twan
1001998,1219,1200,Anabella
1001999,1414,1398,Zerobillion
1002002,1334,1308,Deremius
1002009,1362,1380,SSAO
1002010,1200,1281,Tee Lord
1002013,1407,1470,Geko
1002016,1200,1675,Average__Joe
1002018,1380,1450,SparkFox
1002021,1312,1148,Ace737
1002028,1200,1201,Arckos
1002041,1037,1136,Laks
1002052,1200,1167,Wifehaver69 
1002054,1649,1200,Mauwus
1002058,1245,1304,Venusaur03
1002064,1200,1018,bigmoneybigwomenbigf
1002078,1118,1200,HeyItsBre
1002082,1256,1282,overlordto12
1002084,1117,1111,Coffee Lover
1002087,1336,1200,Advance_N
1002093,1234,1200,NMX2
1002098,1179,1198,Hurricane_Slash
1002099,1131,1208,NeroZonbolt
1002101,951,822,garbage
1002103,1402,1633,PhantomFullForce
1002105,1274,1425,FindMyNeotank
1002107,1156,1200,Runglo
1002133,1240,1258,ReZurRekt843
1002139,1200,1217,VIIIxBraixen
1002152,1854,1200,DM11
1002154,1200,1019,Silence 
1002163,1200,960,Rtyneof
1002167,1075,1200,IndirectBomber2
1002172,1188,1184,Hummus King
1002179,1110,1280,dpsi
1002181,1200,1418,Darq
1002198,1164,1169,TONK
1002200,1261,1166,Pit89
1002201,1078,1138,Heartfire
1002202,1200,1145,JustCallMeJcm
1002203,1200,1640,Ghancc
1002205,1200,1077,Blaze
1002210,1120,1200,Raguna
1002211,1011,1107,Syntated
1002214,1195,1197,Goldfinger212
1002223,1051,1122,Rodrigo Rosas
1002225,1293,1172,Whealy
1002227,980,1200,Gamer #963
1002234,1081,1148,MihoNishizumi
1002240,1200,1197,levelport
1002248,1035,1200,Comcap
1002254,1452,1242,TMQs
1002265,1288,1200,Xyros
1002271,1357,1289,Sgt.Chloride
1002280,1162,1200,Slime900
1002286,1068,1253,Wellaran
1002291,1336,1293,Pistolaceo
1002296,1090,1079,Nebula
1002300,1200,1302,Brandon_Burgh
1002303,1107,1061,Justgabi
1002313,1200,1043,Hungryperson
1002323,1200,1158,Ghillieguy52
1002326,1161,1149,RonEmeraldia
1002327,1034,932,Gears
1002328,1155,1200,EbrattPitt
1002330,1116,1200,Nath
1002348,1148,1183,Forgotten Marshal
1002350,1200,1029,Gash
1002353,1221,1245,CaioSantso
1002355,1200,1104,killman737
1002356,1200,1533,Villefort
1002361,1244,1200,Lionhert2005
1002371,911,1200,Ivashanko
1002381,1410,1200,PawnPusher
1002391,1022,1150,Creed
1002393,1148,1171,GM667_
1002397,1200,1137,atz9999
1002415,1131,1200,trigue92
1002423,1037,1200,0x25B2
1002431,1233,1271,Fluttyx
1002441,1233,1357,Feda
1002484,1167,1212,Wheemst
1002499,1693,1200,JTQWN
1002530,1222,1293,IDSSleeperAgent
1002570,1360,1373,LuarSoleil
1002575,1200,1136,DarkDawnGOOD
1002576,1212,1187,Migreo
1002578,1153,1200,Shrcker
1002600,1606,1570,Mahizzle
1002602,1090,964,Cyro
1002618,1256,1207,EBSY
1002630,1102,1235,FumBlum
1002632,1030,1200,bigou
1002634,1359,1321,Curiosity
1002637,850,1054,laoliu
1002654,1241,1128,Penny!
1002657,1529,1388,BWAVE
1002667,1114,1196,KingKupoh
1002683,1175,1227,Moot
1002694,1051,1157,Old Hitler
1002710,1206,1172,chichote
1002716,1622,1496,Nanao
1002744,1200,1210,MicrOvven
1002747,1182,1150,Sanstroid
1002753,1340,1055,Mike Zack
1002754,1521,1379,Chopstix
1002760,1245,1221,xaltt
1002766,1200,1136,Razgriz
1002780,1156,1200,Rodkilla57
1002792,1397,1320,Getaway Driver
1002805,1215,1672,Ritmo
1002806,1380,1470,Jonathan2357
1002809,1155,1200,BonkAdict
1002814,1394,1521,Nonova
1002831,1246,1037,Jonsey
1002837,1152,1200,Im_From_Tilambuco
1002838,1553,1472,Heroes
1002840,1129,1218,Lammle
1002841,1270,1258,Tomus
1002854,1514,1426,Draco
1002872,1076,1000,HeartMatters
1002878,1192,1200,starcutter
1002925,1343,1318,Adnavacake
1002937,1217,1130,TheMuffins
1002980,1050,1200,edwintheplayer
1002981,1219,1014,HoshiNoKoe13
1003031,1324,1389,Lolom
1003047,1204,1344,Wrek
1003070,1115,918,fethidz27
1003078,1238,1268,Kurau
1003089,1151,1047,SneakyK
1003156,1211,1200,rook
1003177,1285,1306,OlstaSmash
1003231,1215,1155,NotGosst
