Part Number,Quantity,Description,Length
29,1,Tube 1.0 x 0.065,13.27
30,1,Tube 1.0 x 0.065,13.27
41,1,Tube 1.0 x 0.065,30.5
42,1,Tube 1.0 x 0.065,30.5
39,1,Tube 1.0 x 0.065,7.41
40,1,Tube 1.0 x 0.065,7.41
31,1,Tube 1.0 x 0.065,8.25
32,1,Tube 1.0 x 0.065,8.25
45,1,Tube 1.0 x 0.065,13.92
46,1,Tube 1.0 x 0.065,13.92
23,1,Tube 1.0 x 0.065,30.25
24,1,Tube 1.0 x 0.065,30.25
37,1,Tube 1.0 x 0.065,18.15
38,1,Tube 1.0 x 0.065,18.15
27,1,Tube 1.0 x 0.065,15.3
28,1,Tube 1.0 x 0.065,15.3
21,1,Tube 1.0 x 0.065,29.77
22,1,Tube 1.0 x 0.065,29.77
65,1,Tube 1.0 x 0.065,13.5
